epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,382.452,1.57118,3.25465,0.01895,0.71515,0.6234,0.71651,0.46509,1.32853,2.0541,0.02015,0.00999059,0.0033302,0.00999059,0.0033302,0.00999059,0.0033302,0.00999059,0.0033302
2,688.605,1.33791,1.64146,0.0147,0.84123,0.81321,0.89756,0.63433,1.08827,1.06764,0.01672,0.0198916,0.00663055,0.0198916,0.00663055,0.0198916,0.00663055,0.0198916,0.00663055
3,963.861,1.32104,1.2049,0.01447,0.9159,0.86233,0.9179,0.64401,1.06902,0.6847,0.01708,0.0296937,0.0098979,0.0296937,0.0098979,0.0296937,0.0098979,0.0296937,0.0098979
4,1232.82,1.30441,0.99389,0.01419,0.9163,0.89295,0.92911,0.66038,1.0772,0.4883,0.01686,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,1493.97,1.24463,0.88958,0.01362,0.94011,0.93515,0.97034,0.70025,0.98959,0.41458,0.01607,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,1756.64,1.20522,0.82931,0.01322,0.94452,0.93262,0.96778,0.70345,1.01507,0.41915,0.01587,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,2030.54,1.18408,0.789,0.01292,0.9486,0.93695,0.96283,0.71067,0.95804,0.36215,0.01543,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,2298.39,1.14969,0.76363,0.01257,0.95834,0.94036,0.98007,0.73017,0.92144,0.34148,0.01479,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,2570.63,1.13592,0.74584,0.01238,0.93222,0.96406,0.97515,0.71542,0.97019,0.35253,0.01539,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,2815.87,1.11484,0.72637,0.0122,0.94792,0.94165,0.97324,0.73155,0.91688,0.33483,0.01469,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,3060.43,1.10454,0.70828,0.01209,0.96674,0.96815,0.98327,0.74001,0.92148,0.31817,0.0148,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,3304.66,1.09069,0.68995,0.01192,0.96006,0.95287,0.97665,0.7298,0.90769,0.31895,0.01457,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,3548.34,1.08142,0.6752,0.01185,0.96028,0.974,0.98154,0.73142,0.92311,0.31457,0.01478,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,3790.69,1.07147,0.67387,0.01174,0.96557,0.96679,0.98639,0.74293,0.90653,0.31488,0.01456,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,4034.03,1.06466,0.66797,0.01161,0.94998,0.96613,0.97918,0.74644,0.88737,0.31732,0.0142,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,4281.36,1.06002,0.6572,0.01161,0.96763,0.97042,0.98683,0.75264,0.89772,0.30764,0.01431,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,4524.88,1.04949,0.64537,0.01144,0.97149,0.96877,0.98615,0.75506,0.88135,0.29977,0.01419,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,4769.74,1.04002,0.64422,0.01138,0.96639,0.97624,0.98663,0.74992,0.8847,0.3017,0.01409,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,5012.13,1.03652,0.63761,0.01136,0.97942,0.96312,0.98766,0.75867,0.86516,0.29374,0.01388,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
20,5255.38,1.03562,0.63518,0.0113,0.96943,0.95533,0.9838,0.75657,0.86574,0.3059,0.01391,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
21,5497.6,1.02318,0.62817,0.01119,0.94952,0.97966,0.98159,0.75858,0.86257,0.29176,0.01387,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
22,5739.9,1.02506,0.63235,0.01122,0.97562,0.9664,0.98843,0.7675,0.85942,0.29137,0.01374,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
23,5983.16,1.01607,0.62186,0.01113,0.97163,0.97237,0.98818,0.7677,0.85721,0.28987,0.01376,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
24,6227.87,1.01595,0.6176,0.01111,0.95662,0.97621,0.98691,0.76686,0.86437,0.30066,0.01379,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
25,6484.93,1.01386,0.61024,0.01111,0.97029,0.97415,0.98796,0.76843,0.85045,0.2932,0.01363,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
26,6752.37,1.0119,0.60734,0.01106,0.97686,0.96904,0.98879,0.77799,0.84257,0.27999,0.0135,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
27,7023,1.00472,0.60284,0.01101,0.96963,0.97291,0.98806,0.77674,0.83846,0.28265,0.01348,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
28,7283.47,1.00648,0.60496,0.01101,0.97022,0.97406,0.9889,0.7691,0.84246,0.2883,0.01347,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635
29,7553.78,1.00144,0.60177,0.01093,0.97302,0.97408,0.98713,0.77645,0.83818,0.28219,0.01339,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
30,7832.34,0.99997,0.59788,0.01095,0.96919,0.9694,0.98825,0.77718,0.83548,0.2786,0.01335,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645
31,8108.86,0.99548,0.59677,0.01084,0.97301,0.97633,0.98789,0.77577,0.83498,0.27292,0.01338,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
