epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,79.7027,1.38741,4.96457,0.00711,0.75256,0.84266,0.88779,0.60545,1.08935,2.19664,0.00557,0.00995902,0.00331967,0.00995902,0.00331967,0.00995902,0.00331967,0.00995902,0.00331967
2,134.074,1.3022,1.2493,0.00599,0.92572,0.91259,0.97574,0.67561,1.16175,0.7531,0.00721,0.0198602,0.00662007,0.0198602,0.00662007,0.0198602,0.00662007,0.0198602,0.00662007
3,183.243,1.37147,0.88435,0.00658,0.78439,0.85226,0.91101,0.5725,1.2743,0.8035,0.00667,0.0296624,0.00988747,0.0296624,0.00988747,0.0296624,0.00988747,0.0296624,0.00988747
4,230.461,1.38987,0.82239,0.00661,0.91076,0.8564,0.94687,0.63274,1.16548,0.83965,0.007,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,277.67,1.3245,0.7324,0.00607,0.96386,0.91958,0.97881,0.67819,1.08108,0.4472,0.00651,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,323.969,1.30463,0.67657,0.0059,0.93881,0.91191,0.9794,0.66469,1.11849,0.44537,0.00564,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,370.645,1.29408,0.66231,0.00581,0.92257,0.95105,0.97834,0.6963,1.03486,0.42611,0.00526,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,417.606,1.27023,0.61351,0.00574,0.89126,0.91711,0.97098,0.69293,1.04093,0.46303,0.00596,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,463.982,1.2665,0.60904,0.0055,0.9131,0.91853,0.97681,0.69512,1.04501,0.41842,0.0056,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,510.741,1.23889,0.5794,0.00537,0.9303,0.98006,0.98897,0.72274,0.98891,0.36409,0.00508,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,557.787,1.23603,0.5452,0.0053,0.95792,0.9551,0.98688,0.72589,1.00788,0.3966,0.00566,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,604.297,1.20478,0.54325,0.00518,0.96782,0.94406,0.98877,0.72576,0.95854,0.33831,0.0048,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,651.092,1.21419,0.53586,0.00516,0.97227,0.97203,0.99298,0.68643,1.10975,0.34676,0.00578,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,698.349,1.17069,0.50898,0.00484,0.97872,0.96469,0.99288,0.74166,0.95393,0.31994,0.00467,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,745.031,1.19476,0.48921,0.00509,0.95827,0.96341,0.99192,0.71319,1.01978,0.36099,0.00489,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,791.434,1.178,0.48522,0.00504,0.95463,0.96503,0.99093,0.71141,1.01344,0.35134,0.00527,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
